CreateMeshBuilder,,;//‰E‘¤–Ê,,
AddVertex,-1.403,3.113,-1.045,
AddVertex,-1.403,3.253,-1.045,
AddVertex,-1.403,3.253,-0.45,
AddVertex,-1.403,3.113,-0.45,
AddFace2,0,1,2,3
GenerateNormals,,,,

LoadTexture,ikisaki0.bmp,,,
SetTextureCoordinates,0,0,1,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,-1,0,
SetTextureCoordinates,3,-1,1,
SetEmissiveColor,255,255,255

CreateMeshBuilder,,;//‰E‘¤–Ê,,
AddVertex,1.403,3.113,-1.045,
AddVertex,1.403,3.253,-1.045,
AddVertex,1.403,3.253,-0.45,
AddVertex,1.403,3.113,-0.45,
AddFace2,0,1,2,3
GenerateNormals,,,,

LoadTexture,ikisaki0.bmp,,,
SetTextureCoordinates,0,0,1,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,1,0,
SetTextureCoordinates,3,1,1,
SetEmissiveColor,255,255,255
